Project number	Data provider	SampleID	Sequencing platform	Amplicon	Date collected	Sequences accession	Latitude	Longitude	Biome T1	Biome T2	Biome T3	Environmental feature T1	Environmental feature T2	Environmental feature T3	Environmental material T1	Environmental material T2	Environmental material T3	Elevation (m)	Rainfall (mm)	Min temp (˚C)	Max temp (˚C)	Land type	Soil type	Conservation land status	Regional council	Iwi area	Sample description	Primer sequence F	Primer sequence R
{P(x)}	{name}	{string}	{illumina, 454, nanopore, sanger, iontorrent, pacbio}	{16S, ITS, 18S, 26S, COI, 12S}	{date format?}	{string}	{WGS84 epsg:4326 format}	{WGS84 epsg:4326 format}	{category}	{category}	{category}	{category}	{category}	{category}	{category}	{category}	{category}	{integer}	{integer}	{integer}	{integer}	{to define}	{to define}	Yes/No	{to define}	{to define}	{string}	{string}	{string}
P1	Andrew Dopheide	CW52	Illumina Miseq	16S, 18S, 26S, COI, ITS	7/12/2013		1865791E	5819502N	Terrestrial	Forest	Broadleaf	0	0	0	Soil	Forest Soil	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	CY69	Illumina Miseq	16S, 18S, 26S, COI, ITS	8/12/2013		1882019E 	5683472N	Terrestrial	Forest	Broadleaf	0	0	0	Soil	Forest Soil	Beech Forest Soil   	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	CU85	Illumina Miseq	16S, 18S, 26S, COI, ITS	10/12/2013		1850047E 	5555400N	Terrestrial	Forest	Mixed	0	0	0	Soil	Forest Soil	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	CJ95	Illumina Miseq	16S, 18S, 26S, COI, ITS	9/12/2013		1762950E 	5476540N	Terrestrial	Forest	Mixed	Island	0	0	Soil	Forest Soil	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	AY112	Illumina Miseq	16S, 18S, 26S, COI, ITS	13/11/2013		1466311E 	5342427N	Terrestrial	Forest	Mixed	0	0	0	Soil	Forest Soil	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	BO116	Illumina Miseq	16S, 18S, 26S, COI, ITS	22/02/2014		1594053E 	5307417N	Terrestrial	Shrubland	Montane	0	0	0	Soil	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	AU127	Illumina Miseq	16S, 18S, 26S, COI, ITS	20/02/2014		1433525E 	5219244N	Terrestrial	Grassland	Montane	0	0	0	Soil	Grassland Soil	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	AL132	Illumina Miseq	16S, 18S, 26S, COI, ITS	21/02/2014		1362074E 	5179456N	Terrestrial	Forest	Mixed	Moraine	0	0	Gravel	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	U155	Illumina Miseq	16S, 18S, 26S, COI, ITS	18/02/2014		1226036E 	4995241N	Terrestrial	Grassland	Montane	0	0	0	Soil	Grassland Soil	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	Andrew Dopheide	R158	Illumina Miseq	16S, 18S, 26S, COI, ITS	19/02/2014		1202024E 	4971194N	Terrestrial	Forest	Broadleaf	0	0	0	Soil	Forest Soil	Beech Forest Soil   	0	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30b51-B	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393363	-36.179	175.098	0	0	0	0	0	0	0	0	0	174.627853	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30b51-M	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393364	-36.179	175.098	0	0	0	0	0	0	0	0	0	174.627853	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30b58-C	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393365	-36.21941154	175.0520642	Terrestrial	Broadleaf	Forest	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30b58-I	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393366	-36.21941154	175.0520642	Terrestrial	Broadleaf	Forest	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30b60-E	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393367	-36.183	175.104	Terrestrial	Broadleaf	Mixed	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30b60-M	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393368	-36.183	175.104	Terrestrial	Broadleaf	Mixed	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c28-N	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393369	-36.20201485	175.0604515	Terrestrial	Broadleaf	Mixed	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c28-P	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393370	-36.20201485	175.0604515	Terrestrial	Broadleaf	Mixed	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c30-L	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393371	-36.20137316	175.0715118	Terrestrial	Broadleaf	Mixed	0	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c30-N	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393372	-36.20137316	175.0715118	Terrestrial	Broadleaf	Mixed	0	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c35-B	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393373	-36.20657661	175.054643	Terrestrial	Shrubland	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c35-D	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393374	-36.20657661	175.054643	Terrestrial	Shrubland	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c37-E	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393375	-36.20641372	175.065672	Terrestrial	Forest	Broadleaf	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c37-L	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393376	-36.20641372	175.065672	Terrestrial	Forest	Broadleaf	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0
P2	Andrew Dopheide	CM30c39-A	Illumina Miseq	16S, 18S, 26S, COI, ITS	2013	PRJNA393377	-36.20622987	175.0768116	Terrestrial	Broadleaf	Mixed	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0
