Sequences accession	Environmental material T2	Sequencing platform	Min temp (˚C)	Environmental feature T3	Biome T1	Sample description	Rainfall (mm)	Date collected	Biome T2	Environmental feature T2	Iwi area	Environmental material T3	Primer sequence F	Primer sequence R	Regional council	Data provider	Max temp (˚C)	Environmental feature T1	SampleID	Latitude	Elevation (m)	Amplicon	Soil type	Land type	Biome T3	Project number	Longitude	Environmental material T1	Conservation land status
	Forest Soil	Illumina Miseq	0	0	Terrestrial	0	0	7/12/2013	Forest	0	0	0	0	0	0	Andrew Dopheide	0	0	CW52	-405.5077259216806	0	16S, 18S, 26S, COI, ITS	0	0	Broadleaf	P1	69.14164704019743	Soil	0
	Forest Soil	Illumina Miseq	0	0	Terrestrial	0	0	8/12/2013	Forest	0	0	Beech Forest Soil   	0	0	0	Andrew Dopheide	0	0	CY69	-303.82206067047946	0	16S, 18S, 26S, COI, ITS	0	0	Broadleaf	P1	-129.50968401272598	Soil	0
	Forest Soil	Illumina Miseq	0	0	Terrestrial	0	0	10/12/2013	Forest	0	0	0	0	0	0	Andrew Dopheide	0	0	CU85	-271.2823809225641	0	16S, 18S, 26S, COI, ITS	0	0	Mixed	P1	20.462853392335322	Soil	0
	Forest Soil	Illumina Miseq	0	0	Terrestrial	0	0	9/12/2013	Forest	0	0	0	0	0	0	Andrew Dopheide	0	Island	CJ95	-317.2818903838814	0	16S, 18S, 26S, COI, ITS	0	0	Mixed	P1	78.43793278907421	Soil	0
	Forest Soil	Illumina Miseq	0	0	Terrestrial	0	0	13/11/2013	Forest	0	0	0	0	0	0	Andrew Dopheide	0	0	AY112	-820.4767884357176	0	16S, 18S, 26S, COI, ITS	0	0	Mixed	P1	100.639784771215	Soil	0
	0	Illumina Miseq	0	0	Terrestrial	0	0	22/02/2014	Shrubland	0	0	0	0	0	0	Andrew Dopheide	0	0	BO116	-437.0792801184334	0	16S, 18S, 26S, COI, ITS	0	0	Montane	P1	-28.68795100946224	Soil	0
	Grassland Soil	Illumina Miseq	0	0	Terrestrial	0	0	20/02/2014	Grassland	0	0	0	0	0	0	Andrew Dopheide	0	0	AU127	-739.0734291901272	0	16S, 18S, 26S, COI, ITS	0	0	Montane	P1	108.82127779787251	Soil	0
	0	Illumina Miseq	0	0	Terrestrial	0	0	21/02/2014	Forest	0	0	0	0	0	0	Andrew Dopheide	0	Moraine	AL132	-963.1668948716049	0	16S, 18S, 26S, COI, ITS	0	0	Mixed	P1	24.279322662545095	Gravel	0
	Grassland Soil	Illumina Miseq	0	0	Terrestrial	0	0	18/02/2014	Grassland	0	0	0	0	0	0	Andrew Dopheide	0	0	U155	-1319.9285993145859	0	16S, 18S, 26S, COI, ITS	0	0	Montane	P1	104.18571748117773	Soil	0
	Forest Soil	Illumina Miseq	0	0	Terrestrial	0	0	19/02/2014	Forest	0	0	Beech Forest Soil   	0	0	0	Andrew Dopheide	0	0	R158	-1432.8195243743376	0	16S, 18S, 26S, COI, ITS	0	0	Broadleaf	P1	-28.204627927511197	Soil	0
PRJNA393363	0	Illumina Miseq	0	0	0	0	0	-36.179	2013	0	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30b51-B	-36.179	174.627853	16S, 18S, 26S, COI, ITS	0	0	0	P2	175.098	0	175.098	0
PRJNA393364	0	Illumina Miseq	0	0	0	0	0	-36.179	2013	0	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30b51-M	-36.179	174.627853	16S, 18S, 26S, COI, ITS	0	0	0	P2	175.098	0	175.098	0
PRJNA393365	0	Illumina Miseq	0	0	Terrestrial	0	0	-36.21941154	2013	Broadleaf	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30b58-C	-36.21941154	9	16S, 18S, 26S, COI, ITS	0	0	Forest	P2	175.0520642	0	175.0520642	0
PRJNA393366	0	Illumina Miseq	0	0	Terrestrial	0	0	-36.21941154	2013	Broadleaf	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30b58-I	-36.21941154	9	16S, 18S, 26S, COI, ITS	0	0	Forest	P2	175.0520642	0	175.0520642	0
PRJNA393367	0	Illumina Miseq	0	0	Terrestrial	0	0	-36.183	2013	Broadleaf	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30b60-E	-36.183	400	16S, 18S, 26S, COI, ITS	0	0	Mixed	P2	175.104	0	175.104	0
PRJNA393368	0	Illumina Miseq	0	0	Terrestrial	0	0	-36.183	2013	Broadleaf	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30b60-M	-36.183	400	16S, 18S, 26S, COI, ITS	0	0	Mixed	P2	175.104	0	175.104	0
PRJNA393369	0	Illumina Miseq	0	0	Terrestrial	0	0	-36.20201485	2013	Broadleaf	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30c28-N	-36.20201485	227	16S, 18S, 26S, COI, ITS	0	0	Mixed	P2	175.0604515	0	175.0604515	0
PRJNA393370	0	Illumina Miseq	0	0	Terrestrial	0	0	-36.20201485	2013	Broadleaf	0	0	0	0	0	0	Andrew Dopheide	0	0	CM30c28-P	-36.20201485	227	16S, 18S, 26S, COI, ITS	0	0	Mixed	P2	175.0604515	0	175.0604515	0
